"filename", "language", "JSON", "TypeScript", "JSON with Comments", "TypeScript JSX", "PostCSS", "CSV", "Markdown", "HTML", "JavaScript", "Python", "comment", "blank", "total"
"c:\Users\TownseD\OneDrive - Hamilton City Council\Data Analytics\Projects - Smart-Ops\026 Traffic Signal Simulation\smarter-than-scats\src\rendering\road.ts", "TypeScript", 0, 252, 0, 0, 0, 0, 0, 0, 0, 0, 35, 50, 337
"c:\Users\TownseD\OneDrive - Hamilton City Council\Data Analytics\Projects - Smart-Ops\026 Traffic Signal Simulation\smarter-than-scats\src\simulation\carFollowing.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 33, 13, 84
"c:\Users\TownseD\OneDrive - Hamilton City Council\Data Analytics\Projects - Smart-Ops\026 Traffic Signal Simulation\smarter-than-scats\src\simulation\engine.ts", "TypeScript", 0, 227, 0, 0, 0, 0, 0, 0, 0, 0, 18, 43, 288
"c:\Users\TownseD\OneDrive - Hamilton City Council\Data Analytics\Projects - Smart-Ops\026 Traffic Signal Simulation\smarter-than-scats\src\simulation\paths.ts", "TypeScript", 0, 244, 0, 0, 0, 0, 0, 0, 0, 0, 27, 37, 308
"c:\Users\TownseD\OneDrive - Hamilton City Council\Data Analytics\Projects - Smart-Ops\026 Traffic Signal Simulation\smarter-than-scats\src\simulation\signalController.ts", "TypeScript", 0, 182, 0, 0, 0, 0, 0, 0, 0, 0, 19, 31, 232
"c:\Users\TownseD\OneDrive - Hamilton City Council\Data Analytics\Projects - Smart-Ops\026 Traffic Signal Simulation\smarter-than-scats\tsconfig.app.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 29
"c:\Users\TownseD\OneDrive - Hamilton City Council\Data Analytics\Projects - Smart-Ops\026 Traffic Signal Simulation\smarter-than-scats\tsconfig.json", "JSON with Comments", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"c:\Users\TownseD\OneDrive - Hamilton City Council\Data Analytics\Projects - Smart-Ops\026 Traffic Signal Simulation\smarter-than-scats\tsconfig.node.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"c:\Users\TownseD\OneDrive - Hamilton City Council\Data Analytics\Projects - Smart-Ops\026 Traffic Signal Simulation\smarter-than-scats\vite.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 3405, 1527, 7, 1796, 23, 3877, 60, 13, 22, 214, 290, 508, 11742
